"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 10:27:09 GMT 2021","Wed Aug 11 10:27:17 GMT 2021","7929","test_conduit","test_case","TestConduit","","","test_modify_article",""
"passed","Wed Aug 11 10:27:00 GMT 2021","Wed Aug 11 10:27:02 GMT 2021","2055","test_conduit","test_case","TestConduit","","","test_accept",""
"passed","Wed Aug 11 10:27:36 GMT 2021","Wed Aug 11 10:27:39 GMT 2021","2378","test_conduit","test_case","TestConduit","","","test_adatok_mentese",""
"passed","Wed Aug 11 10:27:40 GMT 2021","Wed Aug 11 10:27:54 GMT 2021","14022","test_conduit","test_case","TestConduit","","","test_new_article_from_file",""
"passed","Wed Aug 11 10:26:57 GMT 2021","Wed Aug 11 10:26:58 GMT 2021","1278","test_conduit","test_case","TestConduit","","","test_login",""
"passed","Wed Aug 11 10:27:55 GMT 2021","Wed Aug 11 10:27:58 GMT 2021","3341","test_conduit","test_case","TestConduit","","","test_logout",""
"passed","Wed Aug 11 10:27:32 GMT 2021","Wed Aug 11 10:27:35 GMT 2021","2382","test_conduit","test_case","TestConduit","","","test_lapozas",""
"passed","Wed Aug 11 10:26:53 GMT 2021","Wed Aug 11 10:26:57 GMT 2021","3478","test_conduit","test_case","TestConduit","","","test_regisztracio",""
"passed","Wed Aug 11 10:27:03 GMT 2021","Wed Aug 11 10:27:07 GMT 2021","4666","test_conduit","test_case","TestConduit","","","test_new_article",""
"passed","Wed Aug 11 10:27:18 GMT 2021","Wed Aug 11 10:27:22 GMT 2021","3320","test_conduit","test_case","TestConduit","","","test_listazas",""
"passed","Wed Aug 11 10:27:23 GMT 2021","Wed Aug 11 10:27:31 GMT 2021","7840","test_conduit","test_case","TestConduit","","","test_delete_article",""
