"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 22:05:44 GMT 2021","Sun Aug 08 22:05:46 GMT 2021","2747","test_conduit","test_case","TestConduit","","","test_adatok_mentese",""
"passed","Sun Aug 08 22:05:06 GMT 2021","Sun Aug 08 22:05:08 GMT 2021","1572","test_conduit","test_case","TestConduit","","","test_login",""
"passed","Sun Aug 08 22:05:18 GMT 2021","Sun Aug 08 22:05:25 GMT 2021","6441","test_conduit","test_case","TestConduit","","","test_modify_article",""
"passed","Sun Aug 08 22:05:40 GMT 2021","Sun Aug 08 22:05:42 GMT 2021","2648","test_conduit","test_case","TestConduit","","","test_lapozas",""
"passed","Sun Aug 08 22:05:13 GMT 2021","Sun Aug 08 22:05:17 GMT 2021","4102","test_conduit","test_case","TestConduit","","","test_new_article",""
"passed","Sun Aug 08 22:05:26 GMT 2021","Sun Aug 08 22:05:31 GMT 2021","4793","test_conduit","test_case","TestConduit","","","test_listazas",""
"passed","Sun Aug 08 22:06:00 GMT 2021","Sun Aug 08 22:06:04 GMT 2021","3727","test_conduit","test_case","TestConduit","","","test_logout",""
"passed","Sun Aug 08 22:05:48 GMT 2021","Sun Aug 08 22:05:59 GMT 2021","11293","test_conduit","test_case","TestConduit","","","test_new_article_from_file",""
"passed","Sun Aug 08 22:05:32 GMT 2021","Sun Aug 08 22:05:38 GMT 2021","6367","test_conduit","test_case","TestConduit","","","test_delete_article",""
"passed","Sun Aug 08 22:05:02 GMT 2021","Sun Aug 08 22:05:06 GMT 2021","4441","test_conduit","test_case","TestConduit","","","test_regisztracio",""
"passed","Sun Aug 08 22:05:09 GMT 2021","Sun Aug 08 22:05:11 GMT 2021","2391","test_conduit","test_case","TestConduit","","","test_accept",""
