"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 08:47:36 GMT 2021","Fri Aug 13 08:47:37 GMT 2021","1292","test_conduit","test_case","TestConduit","","","test_login",""
"passed","Fri Aug 13 08:47:30 GMT 2021","Fri Aug 13 08:47:34 GMT 2021","3596","test_conduit","test_case","TestConduit","","","test_regisztracio",""
"passed","Fri Aug 13 08:48:33 GMT 2021","Fri Aug 13 08:48:36 GMT 2021","3331","test_conduit","test_case","TestConduit","","","test_logout",""
"passed","Fri Aug 13 08:47:48 GMT 2021","Fri Aug 13 08:47:55 GMT 2021","7935","test_conduit","test_case","TestConduit","","","test_modify_article",""
"passed","Fri Aug 13 08:47:57 GMT 2021","Fri Aug 13 08:48:00 GMT 2021","3310","test_conduit","test_case","TestConduit","","","test_listazas",""
"passed","Fri Aug 13 08:48:01 GMT 2021","Fri Aug 13 08:48:09 GMT 2021","7797","test_conduit","test_case","TestConduit","","","test_delete_article",""
"passed","Fri Aug 13 08:48:10 GMT 2021","Fri Aug 13 08:48:13 GMT 2021","2371","test_conduit","test_case","TestConduit","","","test_lapozas",""
"passed","Fri Aug 13 08:47:39 GMT 2021","Fri Aug 13 08:47:41 GMT 2021","2061","test_conduit","test_case","TestConduit","","","test_accept",""
"passed","Fri Aug 13 08:48:17 GMT 2021","Fri Aug 13 08:48:31 GMT 2021","14081","test_conduit","test_case","TestConduit","","","test_new_article_from_file",""
"passed","Fri Aug 13 08:47:41 GMT 2021","Fri Aug 13 08:47:46 GMT 2021","4893","test_conduit","test_case","TestConduit","","","test_new_article",""
"passed","Fri Aug 13 08:48:13 GMT 2021","Fri Aug 13 08:48:15 GMT 2021","2392","test_conduit","test_case","TestConduit","","","test_adatok_mentese",""
