"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 10:09:28 GMT 2021","Tue Aug 10 10:09:32 GMT 2021","3637","test_conduit","test_case","TestConduit","","","test_logout",""
"passed","Tue Aug 10 10:08:44 GMT 2021","Tue Aug 10 10:08:48 GMT 2021","4011","test_conduit","test_case","TestConduit","","","test_new_article",""
"passed","Tue Aug 10 10:09:01 GMT 2021","Tue Aug 10 10:09:07 GMT 2021","6282","test_conduit","test_case","TestConduit","","","test_delete_article",""
"passed","Tue Aug 10 10:09:12 GMT 2021","Tue Aug 10 10:09:14 GMT 2021","2699","test_conduit","test_case","TestConduit","","","test_adatok_mentese",""
"passed","Tue Aug 10 10:08:33 GMT 2021","Tue Aug 10 10:08:37 GMT 2021","3918","test_conduit","test_case","TestConduit","","","test_regisztracio",""
"passed","Tue Aug 10 10:08:49 GMT 2021","Tue Aug 10 10:08:56 GMT 2021","6521","test_conduit","test_case","TestConduit","","","test_modify_article",""
"passed","Tue Aug 10 10:08:56 GMT 2021","Tue Aug 10 10:09:01 GMT 2021","4748","test_conduit","test_case","TestConduit","","","test_listazas",""
"passed","Tue Aug 10 10:09:15 GMT 2021","Tue Aug 10 10:09:27 GMT 2021","11188","test_conduit","test_case","TestConduit","","","test_new_article_from_file",""
"passed","Tue Aug 10 10:08:37 GMT 2021","Tue Aug 10 10:08:39 GMT 2021","1509","test_conduit","test_case","TestConduit","","","test_login",""
"passed","Tue Aug 10 10:09:08 GMT 2021","Tue Aug 10 10:09:10 GMT 2021","2611","test_conduit","test_case","TestConduit","","","test_lapozas",""
"passed","Tue Aug 10 10:08:40 GMT 2021","Tue Aug 10 10:08:43 GMT 2021","2372","test_conduit","test_case","TestConduit","","","test_accept",""
