"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 11 09:56:36 GMT 2021","Wed Aug 11 09:56:38 GMT 2021","2332","test_conduit","test_case","TestConduit","","","test_new_article_from_file",""
"passed","Wed Aug 11 09:56:27 GMT 2021","Wed Aug 11 09:56:30 GMT 2021","2534","test_conduit","test_case","TestConduit","","","test_lapozas",""
"passed","Wed Aug 11 09:55:54 GMT 2021","Wed Aug 11 09:55:56 GMT 2021","2076","test_conduit","test_case","TestConduit","","","test_accept",""
"passed","Wed Aug 11 09:56:12 GMT 2021","Wed Aug 11 09:56:16 GMT 2021","3463","test_conduit","test_case","TestConduit","","","test_listazas",""
"passed","Wed Aug 11 09:56:40 GMT 2021","Wed Aug 11 09:56:43 GMT 2021","3534","test_conduit","test_case","TestConduit","","","test_logout",""
"passed","Wed Aug 11 09:55:57 GMT 2021","Wed Aug 11 09:56:01 GMT 2021","4887","test_conduit","test_case","TestConduit","","","test_new_article",""
"passed","Wed Aug 11 09:55:51 GMT 2021","Wed Aug 11 09:55:52 GMT 2021","1394","test_conduit","test_case","TestConduit","","","test_login",""
"passed","Wed Aug 11 09:56:31 GMT 2021","Wed Aug 11 09:56:34 GMT 2021","2634","test_conduit","test_case","TestConduit","","","test_adatok_mentese",""
"passed","Wed Aug 11 09:56:17 GMT 2021","Wed Aug 11 09:56:26 GMT 2021","8184","test_conduit","test_case","TestConduit","","","test_delete_article",""
"passed","Wed Aug 11 09:55:46 GMT 2021","Wed Aug 11 09:55:49 GMT 2021","3574","test_conduit","test_case","TestConduit","","","test_regisztracio",""
"passed","Wed Aug 11 09:56:03 GMT 2021","Wed Aug 11 09:56:11 GMT 2021","8317","test_conduit","test_case","TestConduit","","","test_modify_article",""
